mid,med,pharma,price,num,mfg,exp
1,CROCIN,GSK_HEALTH_CONSUMER,30,200,2020-07-17,2021-07-27
2,FORACORT,CIPLA,304,350,2020-08-24,2021-08-24
3,LEVOLIN,CIPLA,192,230,2020-03-24,2022-02-24
4,BRUFFIN,ABBOTT,9,150,2019-04-30,2021-04-25
5,COMBIFLAM,SANOFI,34,400,2020-01-16,2021-01-15
6,BIFILAC,TABLETS_IMDIA_LIMITED,98,379,2020-11-25,2021-11-24
7,THYRONORM,ABBOTT,148,468,2019-12-24,2021-12-23
8,MEFTAL_SPAS,BLUE_CROSS,42,478,2020-04-16,2021-04-16
9,DOLO650,MICRO_LABS_LIMITED,30,400,2020-03-30,2021-03-29
10,P500,APEX,15,342,2020-01-24,2021-01-23
11,ibugesic,cipla,500,21,2020-11-20,2022-11-22
